Fe,Cr,Mo,T,NP_BCC_A2,NP_CHI_A12,NP_FCC_A1,NP_LAVES_PHASE,NP_LIQUID,NP_MU_PHASE,NP_MU_PHASE_I,NP_R_PHASE,NP_SIGMA,GM,HM,SM,CPM,converged,in_stainless_box
0.5981818181818183,0.08636363636363635,0.31545454545454543,1700.0,0.08053304778314169,0.0,0.0,0.0,0.0,0.0,0.0,0.9194669521930109,0.0,-103133.78861393534,0.0,0.0,0.0,True,0
0.9665587121578259,0.0042778761539076894,0.029163411688266402,887.3795633605092,0.94050279040694,0.0,0.0,0.05949720959310939,0.0,0.0,0.0,0.0,0.0,-35554.21523263349,0.0,0.0,0.0,True,1
0.26232182932149295,0.07637650247112085,0.6613016682073862,1881.3976719424172,0.6699887624264192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3300112375592856,-114195.4094798947,0.0,0.0,0.0,True,0
0.7581521526363209,0.10652734984999017,0.13532049751368908,1845.211579749573,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-118016.02868514252,0.0,0.0,0.0,True,1
0.44717280684838345,0.23997532027414153,0.31285187287747507,1368.4268918737516,0.0,0.0,0.0,0.0,0.0,0.6402691492120025,0.0,0.0,0.3597308507906357,-74061.17568471706,0.0,0.0,0.0,True,0
0.3294743392472295,0.622584416133744,0.047941244619026435,820.4161513645657,0.26610915198868185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7338908479904243,-30397.617747315035,0.0,0.0,0.0,True,0
0.38507440613748584,0.2334651643962993,0.3814604294662149,735.811907678893,0.16295892895690783,0.0,0.0,0.0,0.0,0.8370410710875485,0.0,0.0,0.0,-28412.23865806921,0.0,0.0,0.0,True,0
0.04090814859967906,0.4410288280022983,0.5180630233980227,1660.97160895946,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91458.06955228941,0.0,0.0,0.0,True,0
0.7547854008513585,0.10826203665527546,0.1369525624933661,1115.267631397822,0.6478304050985599,0.015959488569128984,0.0,0.3362101063477152,0.0,0.0,0.0,0.0,0.0,-53153.03625212854,0.0,0.0,0.0,True,1
0.6938224464482879,0.2787245661899363,0.027452987361775778,962.0172063267098,0.6554322333160191,0.02749604749234817,0.0,0.0,0.0,0.0,0.0,0.0,0.31707171952211166,-40955.09535665405,0.0,0.0,0.0,True,1
